InteractionId,UserId,RecipeId,Type
0,2876999,481206,Vote
1,2002076480,485176,Save
2,2000934909,498307,Save
3,2002190476,477892,Vote
4,2002366607,497476,Like
5,2197213,480108,Vote
6,874111,483717,Like
7,2000852107,510595,Save
8,311260,508579,Save
9,2001784008,508702,Vote
10,2001633355,506875,Save
11,429816,482507,Vote
12,2692217,503199,Vote
13,2711726,486034,Vote
14,1802952946,526526,Like
15,520830,503613,Vote
16,2002286185,491864,Vote
17,2001906087,482703,Like
18,2001443744,502940,Like
19,2000294811,492110,Like
20,2001005949,505979,Save
21,11476617,536382,Save
22,2420379,503830,Vote
23,2002265657,489032,Save
24,2754289,476269,Like
25,417563,482061,Save
26,2000553034,478604,Vote
27,55827,489892,Vote
28,10810912,484060,Save
29,2171041,501355,Like
30,2000241296,496696,Like
31,2000435540,512082,Like
32,2001065990,516073,Vote
33,2000041666,493752,Vote
34,1801290985,504246,Vote
35,1800457084,496805,Vote
36,2823603,477144,Save
37,2001535971,491305,Like
38,735704,484012,Vote
39,94226,507001,Like
40,2001980633,495118,Like
41,45681,497261,Vote
42,175824,501957,Vote
43,736607,503115,Like
44,2001431887,496605,Vote
45,1800599522,501733,Vote
46,2001102678,505283,Vote
47,494867,499383,Vote
48,1802434782,517285,Save
49,2001756176,500370,Save
50,2000376014,488503,Vote
51,2420655,494552,Vote
52,2710258,504884,Like
53,2001355971,510945,Like
54,2001486911,525769,Save
55,690268,485964,Like
56,1663024,487659,Vote
57,755285,485413,Like
58,347491,485138,Save
59,2206627,479035,Vote
60,250835,481964,Like
61,2209762,493819,Save
62,2001537262,513765,Save
63,1244902,475994,Like
64,2000364689,486797,Like
65,2001087685,475813,Vote
66,2001396405,493979,Like
67,1460111,475927,Save
68,2887894,506802,Save
69,2002159501,521585,Like
70,1803073240,512988,Like
71,1814507,501939,Vote
72,236262,520443,Vote
73,2215753,503853,Vote
74,884895,495411,Save
75,2002268725,478799,Vote
76,64780,483011,Save
77,2001259816,505956,Vote
78,2002212283,516217,Like
79,453440,499305,Like
80,323556,503160,Vote
81,2000163216,515283,Vote
82,2298378,483594,Like
83,2444926,495553,Like
84,2000128836,482833,Save
85,2513662,489158,Vote
86,1285786,516015,Like
87,2001602533,504900,Save
88,2002016403,489086,Vote
89,2423668,502545,Like
90,2000728451,501370,Vote
91,2002248918,506925,Like
92,2691509,486825,Save
93,2411487,503619,Vote
94,2000140863,483514,Like
95,2002114765,504292,Save
96,2000851459,514750,Vote
97,437571,497011,Save
98,1100022,505497,Save
99,2315693,486667,Save
100,708860,488812,Vote
101,1802481615,503336,Save
102,2942705,480225,Save
103,2668629,491480,Like
104,13111443,481993,Save
105,1515407,510337,Like
106,1147876,491868,Save
107,2419334,479111,Like
108,43452629,489817,Like
109,2002332734,492392,Like
110,141371,512753,Vote
111,2524098,483712,Like
112,2000414501,517108,Like
113,2000495920,484728,Like
114,2000831192,501164,Save
115,2000727501,481231,Save
116,2001985252,506630,Save
117,2692832,484766,Like
118,59118,528393,Like
119,2386410,489405,Vote
120,2209949,509998,Like
121,1800369473,511966,Vote
122,20480,527299,Like
123,1803135507,487131,Save
124,2000794713,494427,Save
125,2000172555,486151,Save
126,1802643348,507013,Save
127,411647,504952,Like
128,42498002,508781,Vote
129,2422544,506238,Like
130,2677925,483789,Vote
131,1628373,501080,Like
132,2002186349,497470,Save
133,1802678451,483401,Save
134,848413,499805,Like
135,217376,483625,Vote
136,35488,513291,Save
137,2001529961,491279,Like
138,2001041104,533432,Save
139,2000256563,490753,Vote
140,1800698944,518072,Like
141,2001098490,533882,Like
142,2092116,481556,Like
143,277434,501511,Save
144,2000738859,489965,Save
145,1802629583,530335,Vote
146,875884,484379,Like
147,1802668061,481888,Vote
148,1802755037,499772,Vote
149,29655,496542,Save
150,1271506,503069,Like
151,565276,497727,Like
152,1802649569,496934,Vote
153,2206637,517200,Like
154,2001047203,475062,Vote
155,2001604853,517530,Vote
156,2820537,505020,Like
157,2002236984,503145,Save
158,1802860104,520919,Save
159,1770404,482741,Like
160,2001472942,510760,Like
161,2002100302,505658,Save
162,1689980,479348,Save
163,503100,485460,Like
164,308772,508331,Save
165,2707132,479887,Like
166,2001625264,486014,Save
167,2411353,504698,Save
168,1702909,502819,Like
169,251414,495351,Vote
170,2002162894,524992,Vote
171,2386712,484303,Vote
172,2012271,483257,Like
173,2000155058,482235,Vote
174,1802649209,487694,Save
175,2001382137,483746,Like
176,2651788,487768,Like
177,2691191,484420,Like
178,1354954,487741,Save
179,2579081,486034,Vote
180,2671421,482080,Like
181,2001592857,475565,Save
182,2709851,479681,Like
183,541401,507375,Like
184,278907,505029,Vote
185,2000430998,478404,Save
186,2001263851,482189,Save
187,843737,483198,Vote
188,2042989,478441,Save
189,2001390149,487397,Vote
190,2000018503,506395,Vote
191,1802640322,534283,Vote
192,2001163951,484800,Save
193,2000694680,486541,Save
194,2000726585,514831,Vote
195,2000395504,494135,Save
196,1801089784,488193,Save
197,2689184,501240,Save
198,2106071,495631,Like
199,421577,482842,Like
200,141371,513738,Vote
201,2001448333,507289,Vote
202,157167,496766,Save
203,2153704,501688,Like
204,2001124799,488389,Like
205,2001381199,513363,Save
206,63858,479274,Vote
207,2001933068,484740,Save
208,969481,475317,Like
209,2002104839,501180,Like
210,450493,508740,Vote
211,2002165420,480340,Save
212,2001685235,495346,Vote
213,175492,476724,Like
214,2000125535,475310,Save
215,2002212283,498137,Like
216,367392,500920,Vote
217,2213839,503062,Like
218,2600709,485818,Like
219,1905182,486677,Like
220,2410685,535784,Like
221,2002213153,494518,Vote
222,1497120,497106,Vote
223,1877589,518096,Save
224,11341007,482385,Like
225,2444037,495162,Save
226,2002121194,489924,Vote
227,2000691439,515356,Vote
228,2000144740,511524,Like
229,177135,489924,Vote
230,2000674111,486080,Like
231,1803687650,523453,Vote
232,1670868,497346,Vote
233,2000708513,506142,Like
234,1686281,496577,Like
235,2710146,510945,Like
236,2001477650,500714,Like
237,2001583155,483403,Like
238,2001362355,505412,Like
239,2000550546,534897,Vote
240,1803491512,477085,Save
241,2002138062,483889,Save
242,2002255039,500848,Vote
243,9233796,501927,Save
244,2326603,507013,Save
245,2001834844,482207,Save
246,2001974823,505655,Save
247,2001773359,503295,Vote
248,1874308,533190,Save
249,2001999265,476213,Vote
250,1279112,478806,Vote
251,1803007868,499587,Vote
252,2883434,485341,Vote
253,2603145,485807,Save
254,1240773,492239,Like
255,2200666,510895,Save
256,855082,517530,Like
257,219653,493141,Vote
258,1803447017,500370,Vote
259,346860,520434,Vote
260,1803075004,487114,Save
261,2001631139,479299,Vote
262,1801661468,502820,Like
263,2692576,497715,Like
264,2000838450,489383,Vote
265,2001296318,496051,Like
266,2001259069,481313,Vote
267,2001419709,484075,Save
268,1408726,476525,Like
269,2690954,482956,Like
270,2000728780,512461,Like
271,65502,486953,Like
272,296656,502468,Like
273,287084,512757,Save
274,1802651706,520532,Save
275,564109,484542,Like
276,2196462,487420,Vote
277,1802944731,481428,Like
278,1953043,496461,Save
279,394077,484286,Like
280,2775327,502733,Save
281,1802650342,487437,Like
282,182304,493302,Save
