RecipeID,Calories,TotalFat,Sugar,Sodium,Protein,SatuatedFat,Carbs
537716,407.9,34,21,49,28,64,12
537671,207.9,12,93,10,6,8,10
537543,1617,104,213,8,40,203,80
537485,52.8,3,0,4,1,1,2
537459,220.7,15,49,2,3,30,4
537458,390.8,37,12,12,11,73,12
537429,333.2,11,25,3,10,5,15
537351,312,24,7,59,54,22,4
537331,3630.9,531,56,117,66,329,36
537323,256.1,19,19,36,14,23,9
537319,614,50,155,0,18,18,26
537241,302.5,21,112,7,6,36,14
537242,217.5,19,33,0,4,39,8
537175,159.4,7,23,9,7,13,8
537089,1117.6,64,542,28,11,71,60
537076,735.9,39,22,71,75,40,27
537071,438.7,41,12,19,27,65,12
537073,340.9,29,30,7,40,17,8
537039,342.3,24,25,23,79,23,3
537037,819,94,3,15,21,70,18
536990,655.4,45,35,67,84,41,17
536977,290.9,34,9,25,26,41,2
536973,760.4,76,15,74,98,118,11
536930,370.2,45,14,23,38,60,2
536859,516.7,3,458,3,3,6,41
536836,414,27,120,19,11,52,19
536834,980.4,115,21,45,125,110,4
536843,541.6,44,14,43,74,45,11
536845,728.9,43,2,69,78,64,25
536747,491.9,37,166,8,16,68,20
536734,60.6,4,14,1,4,9,2
536726,598.1,27,15,24,40,33,29
536728,107.2,11,0,21,10,5,2
536729,270.4,12,157,7,12,14,16
536696,468.1,26,12,31,30,17,21
536700,69.4,2,7,56,4,1,4
536688,428.6,14,69,1,31,16,25
536679,524.9,47,209,3,12,80,19
536678,775.5,67,24,30,67,135,20
536662,550,65,11,33,67,70,2
536643,431.4,49,16,20,57,109,3
536610,2277.4,264,33,79,67,512,51
536547,693.5,47,21,31,25,18,33
536575,446.1,42,9,51,53,83,7
536564,383,52,11,17,18,128,4
536568,390.7,28,116,22,8,56,17
536583,546.1,67,2,25,36,75,6
536603,588.1,84,20,41,4,35,8
536524,114.8,5,6,11,5,3,5
536501,394,18,4,46,69,19,12
536506,628.9,44,322,16,4,82,31
536474,612.2,61,40,15,77,57,9
536469,1034.8,62,352,11,28,117,54
536465,1574.1,227,56,53,73,156,9
536475,614.5,61,11,54,50,88,13
536476,950.7,77,82,117,139,103,21
536473,343.4,26,138,3,11,45,15
536464,524.5,37,11,38,54,68,15
536436,749,66,27,58,72,75,17
536446,299.6,32,19,8,37,34,2
536443,204.3,11,104,9,10,5,11
536455,823.6,43,19,60,87,29,32
536411,205.9,19,56,5,8,29,7
536401,573.7,62,9,13,57,47,8
536382,126.2,15,10,0,4,7,3
536384,410.5,38,6,23,13,77,13
536383,380.9,31,18,21,33,50,11
536363,538.5,43,144,32,72,53,12
536360,842.3,68,27,58,53,122,27
536345,1091.6,117,138,35,29,65,33
536346,629.5,69,19,60,31,122,14
536322,253.5,16,107,4,11,11,12
536318,664.8,67,14,42,112,82,3
536305,631.6,56,189,20,15,88,23
536290,386.4,40,6,47,56,19,4
536288,112.7,0,68,1,0,0,7
536237,301.4,41,35,5,4,82,4
536226,688.5,56,23,161,84,58,15
536223,3566.6,297,479,64,94,595,136
536229,566.9,47,12,31,37,84,17
536221,677,59,111,107,94,51,11
536270,231,11,67,15,6,23,12
536212,518.8,56,10,27,38,90,9
536124,676,34,28,61,48,23,31
536119,247.9,30,28,21,5,14,5
536098,2490.1,308,0,21,318,408,0
536066,181,7,22,12,14,8,9
536070,256.8,10,123,4,4,20,15
536086,322.6,26,32,14,42,33,7
536060,165.1,10,10,15,41,7,1
536063,326.4,29,100,1,14,13,11
536051,249.3,32,1,22,21,43,1
536044,153.9,0,10,0,1,0,3
536012,440.3,52,12,25,33,88,5
536013,1057.9,53,279,89,117,43,43
536011,98.5,10,6,5,13,20,0
535958,643.8,46,23,43,51,91,22
535952,8.2,0,1,8,0,0,0
535907,21.2,0,2,19,4,0,0
535899,2054.2,160,674,25,59,443,81
535874,701.3,67,196,5,13,116,22
535852,1310.7,90,58,1209,63,177,60
535853,17551.6,49,14495,29338,188,79,1440
535829,636.4,42,236,28,17,42,27
535831,789.5,35,4,92,99,61,31
535830,1351.2,141,365,17,20,266,42
535781,603.3,53,135,12,12,107,23
535784,631,61,12,51,43,105,15
535782,483.5,37,187,17,10,61,20
535786,445.3,47,11,18,18,93,12
535783,465,35,22,30,49,53,12
535779,76,1,1,5,9,2,3
535724,848.6,86,45,17,109,60,11
535723,616.9,36,25,7,68,18,22
535722,78,8,3,0,13,12,0
535713,135.1,8,66,2,4,14,7
535673,309.5,28,25,19,31,52,8
535691,5532.1,193,1577,235,226,252,334
535684,7721.6,322,4328,167,149,624,471
535690,9131.8,899,2963,228,232,1986,348
535666,294.3,38,2,17,27,64,1
535651,28.5,0,12,31,1,0,2
535650,665.9,3,399,393,24,2,48
535653,203.4,2,0,7,36,1,8
535652,37.7,0,18,0,1,0,2
535644,398.9,24,110,11,14,45,18
535627,563.1,45,10,70,49,33,16
535602,330.9,30,3,41,55,40,3
535581,481.7,2,9,77,28,1,33
535570,509.4,52,16,31,37,77,10
535584,372.6,40,13,12,45,51,3
535571,1792.7,57,326,9,163,53,36
535557,776.2,93,8,15,81,112,5
535555,319.9,27,12,38,63,32,2
535518,239.2,35,1,3,13,49,0
535431,1066.6,93,148,90,76,157,30
535389,633,42,213,116,69,29,21
535375,147.2,5,7,13,12,5,7
535371,96.8,7,45,5,2,3,3
535341,1288.4,188,63,48,49,317,8
535337,305.2,19,125,7,6,40,15
535327,1157.5,157,12,63,98,261,4
